鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段743巷21弄31~60號,26.04,住,,,1090503,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040821,161.16,2,2,2,有,有,32500000,201663,坡道平面,41.38,0,,RPPNMLKKOHPFFDA67CA
信義區,房地(土地+建物),臺北市信義區永吉路468巷10弄1~30號,6.68,住,,,1090428,土地37建物1車位0,全,三層,透天厝,住家用,加強磚造,0610205,70.09,3,1,3,有,無,11000000,156941,,0.0,0,,RPRNMLKKOHPFFDA87CA
信義區,房地(土地+建物),臺北市信義區吳興街284巷24弄31~60號,27.6,住,,,1090505,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671207,98.16,5,0,5,有,無,15280000,155664,,0.0,0,,RPSQMLOLOHPFFDA78CA
士林區,房地(土地+建物),臺北市士林區天母西路22巷6弄1~30號,47.9,商,,,1090430,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680925,143.79,4,2,2,有,無,21500000,149524,,0.0,0,含增建或未登記建物。;,RPSNMLLKOHPFFEA18CA
士林區,房地(土地+建物),臺北市士林區華齡街40巷2弄1~30號,34.5,住,,,1090229,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0621217,90.02,3,2,2,有,無,13700000,152188,,0.0,0,含增建或未登記建物。;,RPWNMLLKOHPFFEA58CA
士林區,房地(土地+建物),臺北市士林區永平街1~30號,25.5,住,,,1090505,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0621212,70.05,0,0,0,無,無,12100000,172734,,0.0,0,含增建或未登記建物。;,RPOOMLLKOHPFFEA87CA
士林區,土地,永平段三小段181~210地號,27.99,商,,,1090510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15380000,549482,,0.0,0,,RPVNMLKKOHPFFEA38CA
北投區,房地(土地+建物),臺北市北投區光明路61~90號,10.76,商,,,1090525,土地1建物1車位0,七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0961116,120.92,2,2,2,有,有,24000000,198478,,0.0,0,含增建或未登記建物。;,RPXOMLTJOHPFFEA86CA
北投區,房地(土地+建物),臺北市北投區泉源路31~60號,45.97,住,,,1090507,土地2建物2車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710226,266.07,5,2,3,有,有,15300000,57504,,0.0,0,含增建或未登記建物。;,RPQPMLTJOHPFFEA88CA
士林區,土地,陽明段三小段901~930地號,2.59,住,,,1080815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1958688,756250,,0.0,0,,RPRNMLKKOHPFFEA97CA
